MCC,ZIPCode,Currency,CardType,Device,Flag
5196,263,2,1,1,Fraud
1330,21,3,2,1,Normal
9604,108,3,3,2,Normal
4924,144,1,1,1,Fraud
5185,157,1,3,3,Normal
9983,1,2,3,1,Fraud
1832,206,2,1,3,Normal
7712,140,3,2,2,Fraud
1789,172,1,3,3,Fraud
3424,267,2,1,2,Normal
3713,13,1,2,1,Fraud
4891,84,2,1,2,Normal
6526,276,3,3,3,Fraud
6956,190,3,3,3,Normal
3549,48,1,2,3,Normal
7694,207,3,3,1,Fraud
4447,197,2,3,3,Normal
6625,146,3,1,3,Normal
4923,161,1,3,3,Normal
8763,308,1,1,2,Normal
4965,52,2,1,3,Normal
7958,284,2,1,3,Normal
3194,218,2,3,1,Fraud
9870,164,3,2,3,Normal
3945,228,3,2,3,Normal
5309,299,2,1,1,Normal
6319,18,1,2,2,Fraud
8013,270,2,2,3,Normal
2322,125,3,2,3,Normal
7214,85,1,3,1,Fraud
9046,178,3,3,2,Fraud
2837,170,1,3,1,Normal
6539,305,2,3,1,Fraud
1816,198,2,3,3,Normal
6549,282,3,1,2,Normal
5988,232,1,1,3,Normal
7096,170,1,3,2,Fraud
6581,233,1,3,3,Normal
9892,235,2,2,1,Fraud
1848,312,2,2,2,Fraud
4644,153,3,3,3,Normal
5253,59,2,3,3,Normal
7240,265,1,3,2,Fraud
2778,19,3,1,3,Normal
7497,140,2,2,3,Fraud
1829,287,2,3,3,Fraud
6446,146,3,3,2,Fraud
7745,290,3,2,3,Normal
4774,293,3,1,3,Normal
7402,45,3,2,3,Normal
7309,302,2,3,2,Normal
3735,165,2,1,1,Fraud
1512,153,3,2,1,Fraud
9850,63,2,2,1,Normal
6503,18,3,3,2,Fraud
5062,94,3,3,1,Normal
8878,242,1,1,3,Normal
2900,59,3,2,1,Normal
7198,101,3,2,2,Fraud
4782,122,1,3,3,Fraud
2657,180,1,3,2,Fraud
7815,111,1,1,1,Normal
1400,115,3,2,3,Normal
9623,282,3,2,3,Normal
9093,150,2,1,3,Fraud
9633,49,1,1,2,Fraud
2392,149,1,2,1,Normal
9743,146,1,2,2,Normal
1344,65,2,3,1,Fraud
1233,143,3,2,3,Normal
6249,159,3,2,1,Fraud
5695,78,2,2,2,Fraud
8996,30,1,2,2,Fraud
8702,240,1,1,1,Fraud
3333,193,2,3,3,Normal
8759,235,1,2,3,Normal
5759,169,2,2,3,Fraud
9276,26,2,2,3,Normal
9855,141,3,2,2,Fraud
5799,304,2,1,3,Normal
1148,233,1,2,1,Fraud
3096,156,3,2,1,Normal
3571,293,1,3,2,Normal
7858,117,1,1,2,Fraud
1008,234,3,3,3,Normal
3928,307,1,1,1,Normal
4015,240,3,2,2,Normal
9410,182,3,3,1,Fraud
4642,45,1,1,1,Fraud
8691,86,2,2,1,Fraud
7544,92,2,3,2,Normal
1902,197,2,1,3,Fraud
6682,242,2,1,3,Fraud
4638,239,2,3,1,Fraud
6394,294,2,1,3,Normal
5717,37,2,2,3,Normal
7310,34,3,3,1,Fraud
7153,307,3,1,2,Normal
3411,93,3,3,3,Fraud
8202,52,3,1,2,Normal
8328,217,1,3,3,Fraud
2056,242,2,3,2,Fraud
2655,110,2,3,2,Fraud
2783,205,3,3,1,Fraud
5183,230,2,1,2,Normal
8001,185,2,2,1,Normal
3392,181,3,2,2,Normal
4735,210,3,1,1,Normal
6776,283,3,2,2,Normal
9063,307,1,3,2,Normal
6607,88,1,3,3,Normal
4568,177,1,2,1,Normal
1209,287,3,2,2,Fraud
8082,44,3,3,2,Fraud
9321,312,3,3,1,Fraud
5745,261,3,1,3,Fraud
7639,21,2,2,2,Normal
6468,254,3,1,3,Fraud
8282,26,3,2,1,Fraud
1191,152,2,3,3,Normal
2934,37,2,3,3,Fraud
7999,46,2,2,1,Normal
3743,72,2,3,2,Fraud
8769,93,3,3,2,Normal
8108,225,3,2,2,Fraud
8369,171,2,1,3,Fraud
1815,241,1,3,3,Fraud
3784,101,3,2,2,Normal
4762,89,1,2,2,Normal
9288,53,2,2,1,Fraud
7730,81,3,3,3,Normal
6434,141,3,3,1,Normal
4733,308,1,2,3,Normal
2829,141,1,1,1,Fraud
6308,146,1,2,1,Normal
9856,255,1,3,1,Fraud
5576,151,1,3,1,Normal
2250,260,3,3,2,Normal
2616,237,3,3,2,Fraud
9218,170,1,3,3,Normal
9860,226,1,2,3,Fraud
1015,255,1,3,1,Fraud
7096,264,2,2,1,Normal
8889,201,1,3,1,Normal
3051,263,3,3,1,Normal
3361,135,2,3,3,Fraud
4137,7,1,1,1,Fraud
6553,223,2,1,1,Normal
8627,251,2,1,2,Normal
8501,36,2,1,3,Normal
7126,204,3,1,3,Normal
2780,31,3,3,1,Fraud
1205,159,2,3,1,Normal
6940,23,1,2,1,Normal
4982,302,1,2,1,Fraud
5712,223,1,2,3,Normal
6589,115,2,3,2,Fraud
4818,183,2,2,3,Fraud
9626,210,3,3,1,Normal
1402,1,2,2,1,Normal
8203,139,2,1,2,Normal
1101,68,1,3,2,Normal
9200,67,2,3,3,Fraud
2490,76,3,2,1,Normal
1442,136,3,2,1,Normal
5225,32,2,2,1,Fraud
1314,195,2,3,1,Normal
8481,188,1,3,2,Fraud
6733,93,1,2,2,Normal
1515,222,3,3,3,Fraud
1561,97,3,2,1,Normal
1667,126,2,2,2,Fraud
3689,293,3,3,1,Normal
8704,312,3,2,1,Normal
6074,197,2,2,3,Fraud
2900,204,1,2,3,Normal
9374,128,1,3,3,Normal
8007,162,2,1,2,Normal
7418,20,1,2,3,Normal
9001,133,3,1,1,Normal
2787,201,3,2,1,Fraud
6744,38,1,2,3,Normal
3922,84,3,1,3,Normal
9115,29,2,2,1,Normal
3689,88,3,3,2,Normal
8153,193,3,1,3,Normal
5147,112,3,2,3,Normal
7040,169,1,1,1,Fraud
2410,80,3,3,1,Fraud
1897,31,3,2,3,Fraud
9804,30,3,3,1,Normal
5168,25,3,3,2,Normal
9766,135,1,3,3,Fraud
7315,261,3,3,3,Fraud
3919,164,2,3,2,Fraud
1569,194,2,2,1,Normal
2952,10,3,3,3,Fraud
3772,51,3,1,2,Fraud
2350,67,1,3,3,Fraud
1945,78,3,3,2,Normal
4490,6,1,1,1,Normal
5898,294,2,3,1,Fraud
8088,82,2,2,1,Normal
6598,76,1,3,1,Fraud
5280,266,1,1,1,Normal
3986,169,2,2,2,Fraud
5399,90,1,1,1,Fraud
2379,193,2,3,3,Fraud
2981,89,2,3,1,Fraud
9763,140,3,3,2,Normal
7914,278,3,2,1,Normal
5758,312,2,3,1,Normal
2474,264,2,3,3,Fraud
8079,89,1,1,3,Fraud
3396,116,3,2,2,Normal
1940,275,1,2,1,Normal
2602,42,1,2,3,Normal
3695,23,1,3,1,Normal
6504,1,1,1,3,Fraud
8307,17,2,3,1,Fraud
6803,191,2,1,2,Normal
4739,45,2,2,1,Normal
9588,284,2,3,3,Fraud
5889,238,2,3,1,Normal
1957,143,2,2,3,Normal
9343,117,2,3,3,Fraud
8054,185,1,1,3,Fraud
2396,158,2,3,3,Fraud
1322,69,2,1,1,Fraud
5108,52,1,1,1,Normal
7083,77,2,2,2,Fraud
1733,148,2,3,3,Fraud
4203,150,1,2,2,Normal
8682,23,1,2,1,Fraud
6720,93,2,3,3,Fraud
2592,78,1,3,3,Fraud
8161,97,1,2,1,Fraud
1284,314,1,2,1,Normal
5305,198,3,1,2,Fraud
9197,68,1,2,3,Normal
3511,116,2,1,2,Fraud
4521,299,3,3,3,Fraud
5891,112,1,2,1,Normal
6293,133,3,1,3,Normal
6557,235,3,2,1,Fraud
4564,88,3,1,2,Normal
2286,277,3,1,2,Normal
9441,46,3,1,1,Normal
9954,215,3,3,1,Fraud
9481,107,2,3,3,Fraud
2930,225,3,2,1,Fraud
7983,38,2,1,3,Fraud
2513,314,3,3,2,Fraud
3856,304,2,3,1,Fraud
3599,225,2,3,2,Normal
5335,10,1,2,3,Normal
6445,216,3,3,2,Normal
6034,37,2,1,2,Normal
6704,25,2,2,1,Normal
9568,106,1,3,1,Normal
8173,1,1,1,1,Normal
5154,168,2,2,1,Fraud
6914,8,2,2,2,Normal
1132,37,3,2,2,Normal
6209,23,3,3,2,Normal
6012,286,3,1,2,Normal
5225,142,2,2,3,Fraud
3927,28,1,3,3,Normal
4186,182,1,2,1,Normal
4863,279,1,1,3,Normal
1175,315,2,1,1,Fraud
4239,37,3,3,3,Normal
2915,220,2,1,3,Fraud
3042,312,2,3,2,Normal
8405,155,3,2,2,Fraud
2319,206,2,2,1,Normal
3010,193,2,2,2,Normal
7659,72,1,2,2,Normal
5708,273,2,1,3,Normal
4080,286,1,3,1,Normal
9307,145,1,2,3,Normal
9419,7,1,3,2,Fraud
9417,283,1,3,1,Normal
7249,144,2,3,2,Fraud
4562,311,1,2,2,Fraud
2821,295,3,1,2,Fraud
4682,54,3,3,2,Fraud
7433,316,2,3,1,Normal
7911,245,2,1,3,Fraud
1958,244,1,3,3,Fraud
1044,149,3,2,1,Normal
4249,264,3,1,3,Normal
6776,316,2,3,1,Fraud
5626,190,2,1,1,Normal
3144,143,1,1,2,Fraud
8353,116,2,2,1,Fraud
6541,175,1,2,3,Normal
6600,301,1,1,1,Fraud
5476,89,3,1,1,Fraud
4477,68,1,2,1,Fraud
6851,100,1,1,1,Normal
2711,208,3,3,1,Normal
8906,84,2,3,1,Fraud
8039,134,3,1,1,Fraud
3147,248,3,1,1,Normal
4615,166,1,3,3,Normal
5988,42,3,1,3,Fraud
8510,36,3,3,1,Fraud
6469,45,1,3,1,Fraud
1657,204,1,1,1,Normal
4305,160,3,1,1,Normal
1559,115,2,2,2,Normal
5757,17,2,2,2,Normal
7929,117,1,3,2,Normal
7799,91,3,3,2,Normal
8167,231,2,1,1,Normal
4457,255,1,3,3,Normal
4210,257,1,1,2,Normal
3283,9,2,1,1,Fraud
4688,120,2,2,1,Normal
5436,45,2,1,3,Fraud
8132,304,1,1,1,Normal
5552,196,1,3,3,Fraud
4670,22,3,3,1,Fraud
7804,191,3,1,2,Normal
2671,68,2,3,3,Fraud
8350,79,3,1,1,Normal
9539,89,1,1,3,Fraud
2849,132,2,2,3,Fraud
1142,118,2,2,2,Normal
1005,30,2,1,1,Fraud
2195,25,2,2,1,Fraud
4146,132,1,1,1,Normal
6829,302,3,2,2,Fraud
8128,201,3,3,2,Fraud
7364,101,1,3,2,Fraud
1896,253,1,1,3,Normal
6186,92,1,1,3,Fraud
1901,182,2,3,2,Normal
7657,103,2,1,3,Normal
3830,15,1,1,1,Fraud
2303,159,1,1,1,Fraud
9267,250,2,1,1,Normal
1622,103,1,1,2,Normal
7335,296,1,2,3,Normal
6977,309,1,3,3,Fraud
4113,66,1,2,1,Normal
9406,220,3,1,2,Fraud
6385,101,3,1,3,Normal
9130,260,1,3,1,Normal
5802,258,3,3,3,Normal
2454,42,3,3,1,Normal
4621,249,3,2,1,Normal
9379,139,1,1,2,Fraud
3292,238,3,1,1,Normal
2358,108,1,1,2,Fraud
2624,220,2,1,2,Fraud
3292,271,1,3,2,Fraud
1259,242,2,1,1,Fraud
6606,234,2,3,2,Fraud
3344,179,1,1,3,Fraud
3793,244,1,3,3,Fraud
4383,152,1,2,1,Fraud
2414,111,1,3,2,Fraud
2644,184,2,2,3,Fraud
1684,112,2,3,2,Normal
9825,313,2,2,2,Normal
8260,293,2,2,1,Normal
5895,57,2,2,3,Normal
3278,60,2,2,1,Fraud
4447,251,3,1,2,Fraud
8951,249,2,1,1,Normal
1399,58,2,1,2,Normal
4962,182,3,2,3,Normal
6432,164,2,1,2,Fraud
4034,203,2,2,2,Fraud
6051,82,3,2,1,Normal
7547,180,1,3,1,Fraud
6355,1,2,1,1,Normal
6790,218,3,2,2,Fraud
2899,293,2,1,3,Normal
2631,78,2,2,3,Normal
4079,195,2,3,2,Fraud
4965,261,1,1,2,Fraud
8132,109,3,1,3,Fraud
8204,24,2,2,1,Normal
5814,82,1,3,2,Normal
2606,74,1,1,1,Normal
6909,255,3,1,1,Fraud
9190,59,2,3,2,Fraud
1128,144,1,2,3,Normal
8828,133,3,3,2,Normal
3606,186,2,3,2,Fraud
3996,27,1,3,3,Fraud
8093,227,3,2,3,Normal
2215,20,3,1,1,Fraud
7959,81,3,1,2,Fraud
1715,188,3,3,2,Normal
2232,312,3,1,1,Fraud
5942,150,3,3,2,Normal
6589,293,3,2,1,Fraud
4456,29,1,1,1,Fraud
2741,67,3,3,3,Fraud
8807,286,2,3,1,Normal
5723,137,3,2,1,Fraud
2745,278,3,2,3,Fraud
9206,79,2,2,2,Fraud
6632,209,2,3,3,Normal
6359,112,3,2,1,Fraud
3169,38,3,2,1,Normal
5131,307,2,1,3,Fraud
9178,126,2,1,2,Normal
7038,14,1,2,3,Normal
6854,297,3,3,2,Normal
4412,18,1,2,2,Fraud
9759,62,2,1,2,Normal
7491,182,2,1,3,Normal
2181,200,1,2,2,Normal
1138,6,3,1,1,Normal
9022,204,2,1,2,Normal
9994,263,3,3,3,Fraud
4877,72,2,1,3,Fraud
2031,73,2,1,3,Normal
1792,274,2,3,2,Fraud
7979,201,2,3,3,Fraud
3941,200,2,2,2,Normal
6868,153,2,2,1,Fraud
5021,146,2,3,3,Normal
4480,245,1,2,2,Fraud
4890,196,2,3,1,Fraud
2944,105,2,3,1,Normal
8095,287,1,3,3,Fraud
4333,48,3,1,1,Normal
2503,21,2,2,3,Normal
6863,226,1,3,1,Fraud
8342,76,1,2,2,Normal
7755,286,3,1,3,Fraud
9694,224,3,1,3,Normal
3151,179,1,1,1,Fraud
1511,35,2,3,1,Fraud
6429,267,1,3,3,Normal
1010,143,2,3,2,Fraud
9272,246,3,3,2,Normal
8203,218,2,3,1,Normal
1341,199,2,2,2,Normal
9086,155,2,2,3,Fraud
9688,201,1,2,1,Fraud
2528,159,2,3,1,Normal
1386,156,3,2,3,Fraud
1395,115,1,1,2,Fraud
9130,131,3,3,2,Normal
8154,195,3,2,3,Fraud
9241,8,2,1,3,Fraud
9257,155,2,3,2,Normal
4809,13,2,3,2,Fraud
3842,198,1,2,1,Fraud
2856,144,1,2,3,Normal
1408,306,1,1,1,Normal
8139,260,3,3,1,Fraud
1907,22,2,1,3,Fraud
6513,110,3,3,3,Normal
1638,156,2,3,1,Fraud
7355,235,3,1,3,Normal
9784,303,3,2,3,Fraud
1269,188,3,1,1,Normal
4302,234,1,2,2,Normal
1784,205,3,1,1,Normal
9774,287,2,2,1,Fraud
8884,114,2,3,2,Fraud
2454,316,3,1,3,Normal
4405,204,3,2,1,Normal
5435,15,2,1,1,Fraud
4763,35,3,3,1,Normal
3437,102,1,3,2,Normal
3989,299,2,1,2,Fraud
3184,152,3,3,2,Normal
8060,157,2,3,1,Normal
7029,259,3,2,1,Normal
2102,294,1,3,3,Normal
9559,287,3,2,2,Fraud
7401,258,1,3,3,Fraud
8387,20,2,3,1,Normal
8471,119,3,1,2,Normal
7595,15,3,1,2,Fraud
7761,134,2,3,1,Normal
1162,98,2,2,3,Fraud
2710,163,3,1,1,Normal
4284,237,2,1,3,Normal
9984,200,3,3,1,Normal
2454,157,1,2,1,Normal
4759,91,1,1,3,Fraud
9654,267,1,3,3,Normal
5570,304,1,2,3,Fraud
8014,221,3,3,3,Normal
2858,179,3,1,3,Fraud
5935,180,2,2,1,Fraud
8024,161,1,1,1,Normal
1553,62,3,2,1,Fraud
1401,240,1,1,3,Normal
8422,252,3,2,2,Fraud
9326,261,1,3,3,Fraud
2493,153,1,3,1,Normal
9709,80,1,2,2,Normal
5055,181,3,3,2,Fraud
8470,200,1,3,1,Normal
6293,82,3,2,1,Fraud
2378,158,2,2,3,Normal
4756,183,2,2,2,Fraud
1955,32,2,3,3,Fraud
8354,308,3,3,3,Normal
5350,128,1,1,1,Fraud
5366,15,3,1,3,Fraud
4878,313,2,2,1,Normal
8168,52,2,1,3,Normal
8292,164,3,3,1,Fraud
5729,284,3,2,2,Fraud
9761,258,1,1,3,Normal
1449,289,1,3,3,Fraud
2444,206,1,1,1,Normal
3098,145,3,2,2,Fraud
6810,152,1,2,3,Fraud
8141,287,1,3,2,Fraud
5201,277,3,1,3,Normal
1049,177,1,2,1,Fraud
1820,28,2,2,3,Normal
8606,307,2,3,3,Fraud
9987,4,3,3,3,Normal
7848,97,2,1,3,Normal
3147,112,2,3,3,Fraud
7302,196,3,3,1,Normal
6355,222,3,3,2,Fraud
5304,210,2,1,2,Normal
5364,280,1,3,3,Fraud
4647,252,2,3,2,Normal
4677,232,2,2,1,Normal
4795,53,3,1,1,Fraud
2998,222,2,1,1,Normal
1205,229,3,2,3,Normal
8649,3,2,3,2,Normal
6970,291,1,1,3,Fraud
8448,68,3,2,3,Normal
8446,199,2,2,1,Normal
8555,27,3,1,2,Fraud
1541,296,1,3,2,Fraud
4855,267,2,2,1,Normal
1694,292,2,2,3,Normal
5466,196,3,3,2,Normal
1099,68,1,1,3,Normal
5542,155,2,2,2,Normal
2189,23,3,1,1,Normal
3346,294,3,1,3,Fraud
4434,194,1,3,3,Normal
7375,215,2,2,2,Normal
7690,88,3,3,2,Fraud
6972,72,1,1,2,Fraud
4305,181,1,2,1,Fraud
7548,260,3,2,1,Normal
6582,94,1,2,3,Normal
2042,203,1,3,3,Normal
8881,97,1,1,3,Normal
8478,159,2,3,3,Normal
2914,195,2,2,1,Normal
8570,103,2,3,3,Normal
2112,279,1,1,3,Fraud
2875,284,1,1,3,Fraud
4874,269,2,3,2,Fraud
5784,269,1,2,3,Normal
3573,41,3,3,3,Normal
3403,307,1,3,3,Normal
8021,194,1,3,1,Fraud
2993,94,3,3,1,Normal
4689,61,3,3,2,Fraud
7016,316,2,1,2,Fraud
3008,181,2,1,1,Fraud
4274,135,3,3,3,Fraud
9073,233,2,1,2,Normal
2609,165,3,2,3,Fraud
1681,161,3,2,1,Normal
8408,209,3,1,3,Normal
1256,229,1,3,3,Normal
9233,86,2,2,2,Normal
6937,313,1,3,1,Fraud
5437,303,2,2,1,Normal
2017,23,2,3,3,Fraud
2450,230,2,1,3,Normal
6990,137,3,1,1,Fraud
2089,150,3,1,3,Fraud
1373,298,1,1,1,Fraud
1889,104,3,3,2,Normal
5659,199,1,1,1,Normal
4521,59,3,3,2,Fraud
2100,17,1,3,1,Fraud
1702,94,2,1,2,Normal
1200,12,3,1,2,Normal
2674,258,3,1,1,Normal
3541,178,1,1,3,Fraud
7790,235,1,2,3,Normal
7427,238,1,2,3,Fraud
6159,48,3,3,2,Normal
4066,155,2,1,2,Fraud
2447,84,3,2,3,Fraud
6991,5,2,1,2,Fraud
1887,289,3,3,1,Fraud
8214,313,2,2,2,Normal
8376,240,2,2,3,Normal
9002,262,3,1,2,Normal
9527,249,2,1,2,Normal
1838,106,2,3,1,Fraud
7360,244,3,1,2,Normal
2502,50,2,3,2,Fraud
8927,293,1,1,3,Fraud
1042,147,2,2,1,Fraud
3158,101,1,2,2,Fraud
3772,126,2,3,3,Fraud
3813,200,1,2,2,Normal
8649,58,2,1,3,Normal
8775,222,3,3,3,Fraud
4345,25,3,3,1,Fraud
6754,284,1,3,1,Fraud
7664,277,3,2,2,Fraud
4320,274,2,3,3,Normal
8488,213,1,3,2,Fraud
9771,217,2,1,2,Fraud
6229,143,3,2,3,Fraud
6674,304,2,3,2,Fraud
9648,65,3,3,2,Fraud
8549,186,1,1,2,Fraud
5565,304,2,3,1,Fraud
7452,225,1,1,1,Fraud
7583,219,1,3,3,Fraud
3475,182,1,2,2,Normal
8281,147,2,3,3,Fraud
2993,114,3,2,3,Normal
8105,147,1,1,1,Normal
5764,159,3,2,2,Normal
9075,213,1,2,1,Fraud
4974,163,1,3,3,Normal
2569,165,1,3,2,Normal
5794,26,3,3,3,Normal
7570,287,1,3,3,Fraud
9792,255,1,3,1,Normal
9503,63,3,3,2,Fraud
8293,43,1,3,3,Fraud
